"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","EVAP","HDSD","HTDD","MNPN","MXPN","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG","COUNTY"
"USC00454679","LIND 3 NE, WA US",1999-01-01,NA,0,0,11,2,2,0,0,18,3,0,0,12,1,0.8,0.24,52,NA,3137,896,NA,NA,0.66,NA,0.8,35.2,41.1,29.3,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",1999-02-01,NA,0,0,9,7,0,0,0,18,0,0,0,24,0,0.1,0.4,54,NA,3858,721,NA,NA,1.72,NA,0.1,38.3,45.2,31.4,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",1999-03-01,NA,0,0,7,1,0,0,0,21,0,1,0,26,0,0,0.34,74,NA,4533,674,NA,NA,0.53,NA,0,42.6,52.8,32.4,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",1999-04-01,NA,0,0,3,1,0,1,0,13,0,6,0,23,0,1.5,0.22,77,NA,5075,542,NA,NA,0.32,NA,1.5,46.9,61.4,32.4,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",1999-05-01,NA,13,13,6,2,0,0,0,8,0,12,0,27,0,0,0.24,89,8.13,5461,386,45,69,0.59,NA,0,53,68.4,37.5,NA,NA,NA,NA,2526.5,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",1999-06-01,NA,47,34,4,2,0,0,0,0,0,24,2,35,0,0,0.34,98,10.05,5614,154,51,77,0.53,NA,0,61.1,76.4,45.9,NA,NA,NA,NA,2703.6,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",1999-07-01,NA,201,154,2,0,0,0,0,0,0,30,12,36,0,0,0.09,99,12.07,61,61,55,87,0.13,NA,0,68,86.3,49.7,NA,NA,NA,NA,1952.3,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",1999-08-01,NA,448,247,3,1,0,0,0,0,0,29,20,41,0,0,0.54,98,11.06,87,26,59,89,0.58,NA,0,72.1,88.4,55.9,NA,NA,NA,NA,1598.8,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",1999-09-01,NA,464,16,0,0,0,0,0,2,0,26,0,27,0,0,0,88,7.46,235,147,47,79,0,NA,0,60.6,78.4,42.8,NA,NA,NA,NA,1437.2,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",1999-10-01,NA,464,0,5,2,0,0,0,14,0,5,0,19,0,0,0.2,74,NA,705,471,NA,NA,0.61,NA,0,49.3,63.3,35.3,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",1999-11-01,NA,464,0,16,4,0,0,0,11,0,1,0,24,0,0,0.28,70,NA,1343,637,NA,NA,1.1,NA,0,43.8,51.8,35.7,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
"USC00454679","LIND 3 NE, WA US",1999-12-01,NA,464,0,11,3,0,0,0,22,8,0,0,23,0,0,0.49,55,NA,2274,931,NA,NA,0.97,NA,0,35,39.7,30.2,NA,NA,NA,NA,NA,NA,NA,NA,"Adams County"
