"","X","Year","CO2","CH4","N2O","CFC","HCFCs","HFCs","Total_Rad_Force","Cumulative_PPM","Proportion_1990","Change_Percent_Previous","Ocean_Heat","Sea_Surface_Temp_Anomaly","Entity","Code","Temperature_anomaly"
"1",1,1979,1.054,0.432,0.108,0.194,0.008,0.001,1.796,389,0.781,0,-1.196233333,0.039,"World","OWID_WRL",-0.42901555
"2",2,1980,1.088,0.439,0.108,0.204,0.009,0.001,1.849,393,0.804,2.3,0.854766667,0.065,"World","OWID_WRL",-0.2977848
"3",3,1981,1.107,0.446,0.111,0.215,0.01,0.001,1.89,396,0.822,1.8,-0.114233333,0,"World","OWID_WRL",-0.2643908
"4",4,1982,1.119,0.453,0.115,0.226,0.011,0.001,1.925,399,0.837,1.5,-2.542233333,0,"World","OWID_WRL",-0.46367812
"5",5,1983,1.147,0.456,0.117,0.237,0.012,0.001,1.97,402,0.856,1.9,-2.999233333,0.137,"World","OWID_WRL",-0.2688137
"6",6,1984,1.172,0.459,0.12,0.248,0.013,0.002,2.013,405,0.875,1.9,-0.695233333,-0.034,"World","OWID_WRL",-0.48144278
"7",7,1985,1.195,0.464,0.122,0.26,0.014,0.002,2.057,409,0.894,1.9,-0.126233333,-0.106,"World","OWID_WRL",-0.52181727
"8",8,1986,1.218,0.469,0.126,0.273,0.015,0.002,2.103,412,0.914,2,-1.273233333,-0.049,"World","OWID_WRL",-0.43305197
"9",9,1987,1.246,0.474,0.125,0.287,0.016,0.002,2.15,416,0.934,2,-1.129233333,0.214,"World","OWID_WRL",-0.2776557
"10",10,1988,1.286,0.478,0.127,0.304,0.017,0.002,2.213,421,0.962,2.8,0.851766667,0.14,"World","OWID_WRL",-0.24551122
"11",11,1989,1.311,0.483,0.131,0.317,0.018,0.003,2.262,425,0.983,2.1,0.666766667,0.068,"World","OWID_WRL",-0.36384955
"12",12,1990,1.331,0.487,0.133,0.327,0.02,0.003,2.301,428,1,1.7,-0.059233333,0.246,"World","OWID_WRL",-0.13243413
"13",13,1991,1.353,0.491,0.135,0.335,0.021,0.003,2.338,431,1.016,1.6,2.409766667,0.183,"World","OWID_WRL",-0.18719618
"14",14,1992,1.364,0.495,0.137,0.343,0.022,0.003,2.365,433,1.028,1.2,0.335766667,0.041,"World","OWID_WRL",-0.4192706
